country,state,city,date,pm25,pm10,no,no2,nox,nh3,co,so2,o3,benzene,toluene,xylene,aqi,aqi_bucket,wind_speed,humidity,deforestation_rate,industry_growth,co2_emission,population_density,source_file,aqi_bucket_clean,target_aqi_bucket,year,month,quarter,day_of_year,decade,is_covid_period,season,month_sin,month_cos,doy_sin,doy_cos,pm25_pm10_ratio,pm10_minus_pm25,no2_nox_ratio,benzene_toluene_ratio,so2_no2_ratio,pm25_humidity_interaction,high_humidity_flag,pm25_wind_dispersion,low_wind_flag,industry_density_interaction,co2_per_density,country_freq,city_freq,state_freq,country_city_freq,pm25_lag_1,pm25_lag_3,pm25_lag_12,pm10_lag_1,pm10_lag_3,pm10_lag_12,no2_lag_1,no2_lag_3,no2_lag_12,o3_lag_1,o3_lag_3,o3_lag_12,co_lag_1,co_lag_3,co_lag_12,humidity_lag_1,humidity_lag_3,humidity_lag_12,wind_speed_lag_1,wind_speed_lag_3,wind_speed_lag_12,split
Australia,South Australia,Adelaide,2014-01-01,13.815000000000001,16.64,2.88,5.92,8.79,1.81,0.58,2.28,47.2,0.51,1.17,1.23,72.0,Satisfactory,20.43,61.3,0.0062,1.52,6.99,171.9,data\raw\global_air_quality_2014_2025.csv,Satisfactory,Satisfactory,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.8302283154910868,2.8249999999999993,0.6734925286129093,0.4358970633358434,0.3851350700785354,846.8595,0,0.6446570228651424,0,261.288,0.04042799305957201,0.0316702819956616,0.0004338394793926247,0.0039045553145336228,0.0004338394793926247,13.815000000000001,13.815000000000001,13.815000000000001,16.64,16.64,16.64,5.92,5.92,5.92,47.2,47.2,47.2,0.58,0.58,0.58,61.3,61.3,61.3,20.43,20.43,20.43,train
Turkey,Eastern Anatolia,Erzurum,2014-01-01,13.865682606700748,22.05975485244924,5.788702098048053,11.606318867377665,9.21936111167563,8.341100550147582,0.3806319505541118,1.9644013993256508,38.82951895606252,0.4595918967593865,1.0935214030976457,0.2558475920891852,55.0,Moderate,5.970649856795842,89.25858914759539,1.1533017321220074,7.374349067140537,1.885505660607153,275.6324754882484,data\raw\global_air_quality_2014_2025.csv,Moderate,Moderate,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.6285510455983253,8.194072245748494,1.2589069316063781,0.4202857622829584,0.1692527365928515,1237.6312670424616,1,1.9891520721246363,0,2032.6100884904017,0.00681592303029241,0.03210412147505423,0.0004338394793926247,0.005206073752711497,0.0004338394793926247,13.865682606700748,13.865682606700748,13.865682606700748,22.05975485244924,22.05975485244924,22.05975485244924,11.606318867377665,11.606318867377665,11.606318867377665,38.82951895606252,38.82951895606252,38.82951895606252,0.3806319505541118,0.3806319505541118,0.3806319505541118,89.25858914759539,89.25858914759539,89.25858914759539,5.970649856795842,5.970649856795842,5.970649856795842,train
China,Guizhou,Zunyi,2014-01-01,94.82,161.29,22.09,59.86,55.2,7.95,1.28,15.84,53.42,2.97,2.27,1.09,125.0,Lightly Polluted,4.9,34.9,0.715,5.48,90.24,199.9,data\raw\global_air_quality_2014_2025.csv,Satisfactory,Satisfactory,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.5878851721254562,66.47,1.0844202702097776,1.3083694676786486,0.2646174362743496,3309.218,0,16.071186440677963,1,1095.4520000000002,0.4491786958685913,0.06637744034707159,0.0004338394793926247,0.0021691973969631237,0.0004338394793926247,94.82,94.82,94.82,161.29,161.29,161.29,59.86,59.86,59.86,53.42,53.42,53.42,1.28,1.28,1.28,34.9,34.9,34.9,4.9,4.9,4.9,train
Turkey,Eastern Anatolia,Erzincan,2014-01-01,20.947946084473124,43.9330788527728,12.1014034013416,32.644659421434966,23.71541329607158,9.735798036523038,0.5453020752223884,5.130268010391498,55.68891063797977,0.385912053549321,0.6342869470788828,0.2174706177663821,70.0,Moderate,29.12631276897819,43.01165144953821,1.2602741589980448,3.591092500828143,0.8636048332363493,327.1953029655805,data\raw\global_air_quality_2014_2025.csv,Moderate,Moderate,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.4768148774152243,22.985132768299678,1.3765165142758016,0.608417762510829,0.1571548897786325,901.0057555690768,0,0.6953372038958495,0,1174.9885987858884,0.0026313747498297375,0.03210412147505423,0.0004338394793926247,0.005206073752711497,0.0004338394793926247,20.947946084473124,20.947946084473124,20.947946084473124,43.9330788527728,43.9330788527728,43.9330788527728,32.644659421434966,32.644659421434966,32.644659421434966,55.68891063797977,55.68891063797977,55.68891063797977,0.5453020752223884,0.5453020752223884,0.5453020752223884,43.01165144953821,43.01165144953821,43.01165144953821,29.12631276897819,29.12631276897819,29.12631276897819,train
Egypt,Sharkia,10th of Ramadan,2014-01-01,73.89194887574803,255.99161553514315,49.42591818960841,138.3598779246261,97.88710876836953,14.166372948722268,2.284778779713769,39.832527462905276,80.85382694788746,1.1635038357578622,2.050734505073012,1.0653473072338429,160.0,Unhealthy,10.500840595799648,52.04957323680495,0.063786215467469,1.2300245004420989,6.701775844706075,4939.048113375453,data\raw\global_air_quality_2014_2025.csv,Unhealthy,Unhealthy,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.2886498779759999,182.09966665939513,1.4134637160298977,0.5673592878650814,0.2878907366246304,3846.0444046184944,0,6.424917227592472,0,6075.150188314133,0.0013566215734945267,0.04598698481561822,0.0004338394793926247,0.0021691973969631237,0.0004338394793926247,73.89194887574803,73.89194887574803,73.89194887574803,255.99161553514315,255.99161553514315,255.99161553514315,138.3598779246261,138.3598779246261,138.3598779246261,80.85382694788746,80.85382694788746,80.85382694788746,2.284778779713769,2.284778779713769,2.284778779713769,52.04957323680495,52.04957323680495,52.04957323680495,10.500840595799648,10.500840595799648,10.500840595799648,train
Turkey,Eastern Anatolia,Elazig,2014-01-01,18.55303621240344,26.298732264773584,7.684613007137587,28.39181264180262,19.12050559393831,5.74195900493154,0.4315067422998184,5.430834264878259,34.913874051526186,0.2847585468512104,0.7409861101554914,0.3416584286537827,65.0,Moderate,15.876403774442595,51.96688100545952,0.920367990457048,2.275808672857091,0.9670876120807816,253.4159124301432,data\raw\global_air_quality_2014_2025.csv,Moderate,Moderate,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.7054726182289058,7.745696052370143,1.4848880965739448,0.38429622182153156,0.19128169596331043,964.143425139951,0,1.099347731920228,0,576.726131348513,0.0038012072548580145,0.03210412147505423,0.0004338394793926247,0.005206073752711497,0.0004338394793926247,18.55303621240344,18.55303621240344,18.55303621240344,26.298732264773584,26.298732264773584,26.298732264773584,28.39181264180262,28.39181264180262,28.39181264180262,34.913874051526186,34.913874051526186,34.913874051526186,0.4315067422998184,0.4315067422998184,0.4315067422998184,51.96688100545952,51.96688100545952,51.96688100545952,15.876403774442595,15.876403774442595,15.876403774442595,train
Egypt,Giza,6th of October,2014-01-01,31.29975501019473,76.4555693321667,11.047077295704913,33.35860372502381,23.535010940986226,27.27430181505076,0.7608789534068013,9.48907756969654,53.59200813468283,0.9895362399515868,1.26630326270012,0.7145236572234407,91.0,Moderate,21.1199147094487,46.82663368379022,0.0714957209355257,2.821938150366984,2.042845265097764,4405.567861239313,data\raw\global_air_quality_2014_2025.csv,Moderate,Moderate,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.40938488685926616,45.155814321971974,1.417403305707689,0.781436396527336,0.28445666861415075,1465.6621622547661,0,1.4150034220893621,0,12432.240021661897,0.0004635910144643114,0.04598698481561822,0.0004338394793926247,0.0021691973969631237,0.0004338394793926247,31.29975501019473,31.29975501019473,31.29975501019473,76.4555693321667,76.4555693321667,76.4555693321667,33.35860372502381,33.35860372502381,33.35860372502381,53.59200813468283,53.59200813468283,53.59200813468283,0.7608789534068013,0.7608789534068013,0.7608789534068013,46.82663368379022,46.82663368379022,46.82663368379022,21.1199147094487,21.1199147094487,21.1199147094487,train
Turkey,Marmara,Edirne,2014-01-01,19.18615516136557,27.42760429938576,7.015194559189343,19.436882513713915,14.019600848638728,8.798632719166829,0.4802753375043065,5.05787779723747,41.28524642401811,0.2908255944800295,0.7415236644372769,0.2992285188113798,66.0,Moderate,19.286605393393828,80.99325291634644,1.2828874259304626,7.508621388607416,1.1916212695276385,268.55760861535805,data\raw\global_air_quality_2014_2025.csv,Moderate,Moderate,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.6995198797685499,8.24144913802019,1.386407597274326,0.3921994890092148,0.26022061580339395,1553.949117476747,1,0.945754836223777,0,2016.4974041225369,0.004420655293867101,0.03210412147505423,0.0004338394793926247,0.004772234273318872,0.0004338394793926247,19.18615516136557,19.18615516136557,19.18615516136557,27.42760429938576,27.42760429938576,27.42760429938576,19.436882513713915,19.436882513713915,19.436882513713915,41.28524642401811,41.28524642401811,41.28524642401811,0.4802753375043065,0.4802753375043065,0.4802753375043065,80.99325291634644,80.99325291634644,80.99325291634644,19.286605393393828,19.286605393393828,19.286605393393828,train
Egypt,Beheira,Abu Hummus,2014-01-01,43.75942348154953,115.7544696295354,12.776388680286034,40.30472469826386,28.132990090631445,20.150515081359224,0.5997267499010367,5.599758523365125,19.406463767657527,0.7190341388004584,1.5856677570086335,0.9540333110253704,121.0,Unhealthy for Sensitive Groups,17.920625752883485,46.59975188934685,0.0609360422756209,3.215302053711376,2.949022447772539,3589.6281434660204,data\raw\global_air_quality_2014_2025.csv,Unhealthy,Unhealthy,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.3780365738235606,71.99504614798586,1.4326498227088877,0.45345797198963383,0.13893553240597634,2039.1782770610666,0,2.31278944222448,0,11541.73874174645,0.0008213110157728163,0.04598698481561822,0.0004338394793926247,0.0021691973969631237,0.0004338394793926247,43.75942348154953,43.75942348154953,43.75942348154953,115.7544696295354,115.7544696295354,115.7544696295354,40.30472469826386,40.30472469826386,40.30472469826386,19.406463767657527,19.406463767657527,19.406463767657527,0.5997267499010367,0.5997267499010367,0.5997267499010367,46.59975188934685,46.59975188934685,46.59975188934685,17.920625752883485,17.920625752883485,17.920625752883485,train
Turkey,Southeastern Anatolia,Diyarbakir,2014-01-01,36.77966245866399,80.2488720257304,10.031571026139872,46.800990785349896,30.121257760089577,9.760391231088365,0.5737138970353488,6.393103949358593,57.19205833255216,0.6422579769208258,1.3656461065323973,0.456627031547499,104.0,Unhealthy for Sensitive Groups,20.239102643648103,57.88522244684557,1.2393411534291912,5.710551705051001,2.33572105860901,260.3485500096806,data\raw\global_air_quality_2014_2025.csv,Unhealthy,Unhealthy,2014,1,1,1,2010,0,Winter,0.49999999999999994,0.8660254037844387,0.017201575418260506,0.9998520419557735,0.4583199872086831,43.469209567066414,1.553752821491007,0.4702957109846807,0.13660189037617415,2128.99894293966,0,1.7316956877019258,0,1486.7338561653373,0.008937187746105699,0.03210412147505423,0.0004338394793926247,0.0039045553145336228,0.0004338394793926247,36.77966245866399,36.77966245866399,36.77966245866399,80.2488720257304,80.2488720257304,80.2488720257304,46.800990785349896,46.800990785349896,46.800990785349896,57.19205833255216,57.19205833255216,57.19205833255216,0.5737138970353488,0.5737138970353488,0.5737138970353488,57.88522244684557,57.88522244684557,57.88522244684557,20.239102643648103,20.239102643648103,20.239102643648103,train
